日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/05/05,永和,PM2.5,4,7,9,9,11,10,7,11,14,15,14,18,26,29,29,28,37,44,27,10,12,16,14,12
2018/05/06,永和,PM2.5,15,14,12,13,13,16,17,19,24,22,21,25,22,21,25,26,26,25,21,20,25,22,23,25
2018/05/07,永和,PM2.5,24,23,21,20,19,18,18,17,21,24,24,20,17,19,21,23,20,18,18,15,12,13,17,14
2018/05/08,永和,PM2.5,12,13,12,9,2,1,4,9,13,12,9,8,7,4,6,9,9,8,8,9,10,10,13,15
2018/05/09,永和,PM2.5,14,12,9,7,8,5,5,9,8,7,8,9,7,11,12,8,7,11,14,16,12,9,10,11
2018/05/10,永和,PM2.5,10,12,12,7,5,7,11,14,14,,,11,13,13,11,9,14,15,11,8,7,9,12,10
2018/05/11,永和,PM2.5,8,8,6,7,8,8,11,11,11,13,12,10,10,12,14,12,12,15,12,13,13,10,15,13
2018/05/12,永和,PM2.5,8,12,16,12,11,14,16,18,24,30,24,18,19,23,24,21,26,28,26,22,25,26,27,29
2018/05/13,永和,PM2.5,25,25,20,15,16,17,20,21,25,31,37,38,37,34,30,30,26,26,27,25,21,17,20,25
2018/05/14,永和,PM2.5,23,22,21,19,19,18,20,22,26,36,38,35,31,,26,26,28,32,28,22,19,24,32,31
2018/05/15,永和,PM2.5,25,26,29,27,26,25,26,32,33,35,41,43,40,39,40,32,25,24,26,29,28,30,37,33
2018/05/16,永和,PM2.5,28,22,22,23,16,16,19,19,18,25,33,31,28,26,19,18,19,18,22,20,21,27,23,20
2018/05/17,永和,PM2.5,20,19,23,26,26,22,14,19,31,34,26,17,19,23,20,22,23,29,28,22,22,19,16,15
2018/05/18,永和,PM2.5,20,20,16,15,12,13,19,20,23,25,24,23,23,30,30,26,27,29,26,22,20,19,13,8
2018/05/19,永和,PM2.5,15,16,11,11,13,13,15,17,18,22,32,45,42,28,23,23,26,26,25,25,22,21,21,19
2018/05/20,永和,PM2.5,22,25,26,26,26,25,24,26,28,30,26,25,21,18,19,19,20,19,14,14,18,17,16,12
2018/05/21,永和,PM2.5,8,10,11,12,11,13,20,17,16,20,18,17,20,22,22,20,16,19,22,15,10,13,15,14
2018/05/22,永和,PM2.5,15,14,15,13,9,10,13,19,21,30,40,38,33,27,23,20,20,23,27,27,28,28,26,22
2018/05/23,永和,PM2.5,20,20,20,18,18,22,22,23,22,25,31,30,26,21,19,15,16,18,13,17,17,16,18,19
2018/05/24,永和,PM2.5,16,13,14,14,12,10,9,13,18,18,21,22,21,23,22,19,17,19,19,18,18,18,20,19
2018/05/25,永和,PM2.5,21,22,22,20,20,19,18,23,26,30,32,34,29,24,25,30,29,20,16,18,19,14,12,19
2018/05/26,永和,PM2.5,23,21,20,22,22,18,21,19,16,15,15,19,18,17,14,12,13,13,16,19,19,17,15,15
2018/05/27,永和,PM2.5,16,16,16,17,14,15,17,15,18,21,16,15,18,22,24,24,22,20,21,19,16,14,13,17
2018/05/28,永和,PM2.5,13,9,13,16,17,16,20,24,22,22,22,17,16,,18,22,25,26,24,22,23,26,21,13
2018/05/29,永和,PM2.5,13,18,21,16,14,13,12,17,22,26,35,,32,27,23,28,32,22,16,17,18,15,13,14
2018/05/30,永和,PM2.5,12,10,11,14,12,14,18,19,24,27,32,34,32,29,27,26,20,11,13,16,14,14,16,18
2018/05/31,永和,PM2.5,21,18,13,13,14,15,14,14,17,20,20,22,23,20,18,20,16,11,12,10,13,16,13,11
2018/06/01,永和,PM2.5,8,7,7,7,7,7,7,4,4,5,4,2,2,8,11,11,12,13,15,13,11,8,7,7
2018/06/02,永和,PM2.5,6,5,7,10,14,11,11,12,10,13,16,16,16,14,13,15,18,18,14,13,12,9,10,8
2018/06/03,永和,PM2.5,8,11,10,9,11,9,7,6,6,10,16,19,20,14,8,9,15,17,19,25,20,11,9,9
2018/06/04,永和,PM2.5,11,9,7,7,6,5,9,9,8,12,17,20,23,19,18,18,18,19,14,13,11,13,15,14
2018/06/05,永和,PM2.5,13,8,8,11,11,10,13,13,11,14,,,,27,24,25,22,12,7,7,7,14,15,10
2018/06/06,永和,PM2.5,9,7,9,9,3,4,7,7,10,12,13,12,13,15,16,11,10,19,26,23,19,15,11,9
2018/06/07,永和,PM2.5,7,11,14,11,9,7,5,2,3,7,13,12,5,4,3,3,3,6,11,10,7,6,8,7
2018/06/08,永和,PM2.5,5,7,7,3,3,1,1,1,7,7,1,1,1,4,5,4,7,9,8,5,4,4,5,4
2018/06/09,永和,PM2.5,3,3,6,7,4,2,7,11,8,6,6,3,6,9,7,7,10,9,8,8,12,11,8,7
2018/06/10,永和,PM2.5,5,7,7,7,8,11,11,10,10,15,21,21,20,17,15,15,14,14,16,14,9,7,8,5
2018/06/11,永和,PM2.5,6,10,7,5,7,6,6,8,8,8,11,13,10,7,,11,14,16,18,20,20,23,25,19
2018/06/12,永和,PM2.5,14,11,7,12,15,16,18,22,26,22,18,19,20,22,26,26,25,26,28,30,28,27,25,25
